cycle	date	conv_rate	cost_per_conv	assets_deployed	winners	losers	status	description
15	2026-07-06	0.000000	0.00	0	0	0	observe	OBSERVE mode (Cosmos C15). ⚠️ CORRECTION TO C14: my C14 report was WRONG due to a status-enum misread. I called conversion actions 'ENABLED' when status=3 actually means REMOVED (verified: campaign.status=ENABLED returns 2; conversion_action.status=REMOVED returns 3; 'Added Credit Card' etc all return status 3). REALITY: conversion tracking is STILL BROKEN, same as C9-C13 — EVERY action with include_in_conversions=true is REMOVED (Form, Signup Completed, Successful Free Sign Up, User Became Activated, Added Credit Card, Customer Created, Submitted Contact Us Form, ...). The only truly-ENABLED actions (status 2) are 'DO NOT USE' placeholders with include_in_conversions=false. The 3 conv seen in C14 were trailing removed-action data now aged out of the 30d window. CURRENT: 6 active Cosmos campaigns, 8279 clicks, 0 conv, $9478 spend, CR 0.000%. Per-campaign all ZERO conv: brand $1348, competitor $2433, generic $1508, platform $1216, sol_code_review $1463, sol_incident_mgmt $1511. DECISION: OBSERVE. Conversion tracking is the ONLY thing that matters right now — cannot score, cannot run copy experiments, cannot optimize on a metric structurally frozen at 0. No new negatives (waste already trimmed C13-14; blocker is tracking not keywords). Total negatives still 348. BLOCKER FOR USER: must set include_in_conversions=true on a LIVE (status ENABLED) conversion action, OR re-enable a removed one. Until then every cycle burns ~$9.5K/30d with zero measurable return.
16	2026-07-09	0.000000	0.00	0	0	0	observe	OBSERVE mode (Cosmos C16). ✅ CONVERSION TRACKING FIXED. 6 conversion actions are now BOTH status=ENABLED(2) AND include_in_conversions=true, all freshly created (new IDs 766xxxxxxx vs old removed 71xxxxxxx): Demo Request Form, Opportunity Created, New User Signed Up, Webinar Registered, YouTube follow-on views, YouTube channel subscriptions. The old broken actions remain REMOVED. HOWEVER: 0 conversions registered yet in last 14d across all Cosmos campaigns — new actions need time to accumulate real data. Clean-data clock effectively STARTS TODAY (Jul 9); earliest experiment window ~Jul 16-23. CURRENT: 7 active Cosmos campaigns (NEW: category_aidlc appeared, 7 clicks/$5, ad groups coding_agent_platform + engineering_platform), 8417 clicks, 0 conv, $9491 spend, CR 0.000%. Per-campaign: brand $1407, competitor $2441, generic $1495, platform $1215, sol_code_review $1447, sol_incident_mgmt $1482, category_aidlc $5. DECISION: OBSERVE — tracking works but no conversion signal yet; cannot score/optimize until conversions register. No new negatives (blocker was tracking, now resolved; keyword waste already trimmed). Total negatives still 348. NEXT: monitor for first real conversions over next 1-2 cycles; once signal appears + 7-14d clean data, resume ACT mode and launch staged Tier-1 copy experiment on coding_agent.
17	2026-07-13	0.000273	4200.47	0	0	0	observe	OBSERVE mode (Cosmos C17). 🎉 FIRST REAL CONVERSIONS since tracking fix — 2 conv ('New User Signed Up') on the NEW category_aidlc campaign, engineering_platform ad group (41 clicks, 2 conv, $79 → 4.9% CR, $39 CPA). This is the first genuine signal since C16's tracking repair. Clean-data clock day 4 of 7-14. CURRENT: 8 active Cosmos campaigns (2 NEW this cycle: competitor_cosmos_v2 [devin/category_alternatives/cursor_automation/openai_agents ad groups, barely spending $19], plus category_aidlc now scaling to 197 clicks/$264/2conv). Totals: 7333 clicks, 2 conv, $8401 spend, CR 0.027%, cost/conv $4200 (dominated by 7 campaigns still at zero). Per-campaign: brand $1194, competitor $2070, competitor_v2 $19, generic $1285, platform $1033, sol_code_review $1250, sol_incident_mgmt $1287, category_aidlc $264 (2 conv). DECISION: OBSERVE — signal exists but engineering_platform has only 41 clicks (below 150-click maturity gate) and clock is day 4/7-14. Cannot score or launch experiments yet. No new negatives (tracking was blocker; keyword waste already trimmed). Total negatives still 348. NEXT: monitor conversion accumulation; category_aidlc/engineering_platform is the early standout (highest CTR + only converter) — watch whether signal holds. Once ≥150 clicks + 7-14d clean data, move to ACT and launch Tier-1 copy experiment.
18	2026-07-16	0.001047	1134.56	0	0	0	observe	OBSERVE mode (Cosmos C18). Clean-data clock day 7 (minimum threshold reached). CONVERSIONS GROWING: 7 conv in 30d window (up from 2 in C17), ALL on category_aidlc campaign. 14d breakdown: 7 'New User Signed Up' + 3 'Demo Request Form' (all_conversions only). category_aidlc ad groups: coding_agent_platform 267 clicks/4 conv/$455/CR 1.5%/CPA $114 — engineering_platform 60 clicks/3 conv/$126/CR 5.0%/CPA $42 — agent_orchestration 1 click/0 conv/$8 (new). All other 7 campaigns still at ZERO conversions on $7352 combined spend: brand $1064, competitor $1871, competitor_v2 $70, generic $1158, platform $970, sol_code_review $1083, sol_incident_mgmt $1135. Total: 8 campaigns, 6687 clicks, 7 conv, $7942 spend, CR 0.105%, cost/conv $1135. DECISION: OBSERVE — clock just hit day 7; category_aidlc/coding_agent_platform at 267 clicks exceeds 150-click maturity gate but the conversion signal is only 7d old. Will let one more cycle accumulate to confirm stability before moving to ACT. The stark contrast (category_aidlc converting at 2.1% vs 7 campaigns at 0.0%) suggests either category_aidlc has fundamentally better targeting, or the other campaigns need landing page/conversion-path investigation. No new negatives. Total negatives still 348.
19	2026-07-20	0.003810	487.31	0	0	0	act	ACT mode RESUMED (Cosmos C19). BREAKTHROUGH CYCLE: 23 conv (up from 7 in C18, +229%). Clean-data clock day 11 — past 7-day minimum. Conversion signal confirmed and accelerating. 14d breakdown: category_aidlc 18 'New User Signed Up' + 3 'Demo Request Form' + 1 'Became MQL'; competitor_v2 5 'New User Signed Up'. TWO CAMPAIGNS DRIVING ALL CONVERSIONS: category_aidlc (810 clicks, 18 conv, $3837, CR 2.2%, CPA $213) and competitor_v2 (138 clicks, 5 conv, $1578, CR 3.6%, CPA $316). Top converters: category_aidlc/engineering_platform (113 clicks, 6 conv, CR 5.3%, CPA $87), competitor_v2/devin (50 clicks, 3 conv, CR 6.0%, CPA $221), category_aidlc/coding_agent_platform (679 clicks, 12 conv, CR 1.8%, CPA $268). SIX CAMPAIGNS STILL ZERO CONV on $5793 combined spend: brand $857, competitor $1464, generic $919, platform $751, sol_code_review $882, sol_incident_mgmt $920. If excluded: CPA drops from $487 to $235. Deployed 10 new negatives: category_aidlc (flutterflow ai, kimi code, claude 3.5 sonnet, jetbrains air), competitor_v2 (harness ai, droid from factory, hermes agent desktop, claude agent sdk), sol_code_review (ai like claude for coding, claude ai enterprise). Total waste blocked ~$738. Total negatives now 358. NEXT: conversion signal strong enough to begin copy experiments on coding_agent_platform (679 clicks, 12 conv) in next cycle.
20	2026-07-23	0.008300	319.66	0	0	0	act	ACT mode (Cosmos C20). EXPONENTIAL GROWTH confirmed: 49 conv (C19: 23, C18: 7, C17: 2). Clean-data clock day 14 — full maturity reached. 14d breakdown: category_aidlc 44 Sign-Up + 4 Demo (all_conv) + 1 MQL (all_conv); competitor_v2 5 Sign-Up. TOTAL: 8 campaigns, 5908 clicks, 49 conv, $15,663, CR 0.83%, CPA $320. TWO WINNERS: category_aidlc (1335 clicks, 44 conv, $7825, CR 3.3%, CPA $178) and competitor_v2 (233 clicks, 5 conv, $2929, CR 2.1%, CPA $586). Top ad groups: coding_agent_platform 1106 clicks/32 conv/CR 2.9%/CPA $199 — engineering_platform 207 clicks/12 conv/CR 5.8%/CPA $111 — competitor_v2/devin 80 clicks/3 conv/CR 3.8%/CPA $368. SIX CAMPAIGNS STILL ZERO CONV on $4909 combined spend (31% of total): brand $726, competitor_v1 $1236, generic $763, platform $641, sol_code_review $747, sol_incident_mgmt $797. If excluded: CPA drops to $219. Deployed 8 new negatives across 3 campaigns: category_aidlc (blackbox ai, lovable dev, codex app, console groq com, traycer, flutter flow ai), competitor_v2 (openai sdk), sol_incident_mgmt (ai security). Total negatives now 366. Top converting search terms: claude code (6 conv), codex (4 conv), opencode (4 conv), visily ai (5 conv), augment code (3 conv), devin ai (3 conv), thunkable ai (2 conv). RECOMMENDATION: pause 6 zero-converting campaigns to cut CPA from $320 to $219.
21	2026-07-27	0.013961	237.22	0	0	0	act	ACT mode (Cosmos C21). EXPONENTIAL GROWTH CONTINUES: 73 conv (C20: 49, C19: 23, C18: 7). CPA $237 (best ever). 6 zero-conv campaigns PAUSED externally between C20-C21: brand, competitor_v1, generic, platform, sol_code_review, sol_incident_mgmt. Trailing 30d window still shows $3,608 from paused campaigns; will rotate out. ENABLED-ONLY: 1986 clicks, 73 conv, $13,709, CR 3.68%, CPA $188. 14d conversion breakdown: category_aidlc 64 Sign-Up + 4 Demo + 1 MQL; competitor_v2 5 Sign-Up + 1 MQL. Top ad groups: coding_agent_platform 1364 clicks/49 conv/CR 3.6%/CPA $159 — engineering_platform 273 clicks/19 conv/CR 7.0%/CPA $92 (BEST) — devin 122 clicks/3 conv/CR 2.5%/CPA $567. Top converting search terms: visily ai (10 conv), codex (7 conv), claude code (6 conv), opencode (4 conv), augment code (3 conv), devin ai (3 conv), claude ai (2 conv), thunkable ai (2 conv). Deployed 10 new negatives: category_aidlc (openrouter, google ai studio, pi code agent, black box ai, ai visual code, claude code download), competitor_v2 (hermes agent, replit agent, claude mcp agent, claude codex orchestration). Total negatives now 376. engineering_platform achieving $92 CPA at 7% CR is the standout — ready for copy experiment.
22	2026-07-30	0.041521	166.15	0	0	0	act	ACT mode (Cosmos C22). MILESTONE: 95 conv, CPA $166 (best ever). Enabled-only: 2288 clicks, 95 conv, $15,784, CR 4.15%, CPA $166. Paused campaigns trailing $2,747 (rotating out). 14d: category_aidlc 79 Sign-Up + 1 Demo + 1 MQL; competitor_v2 9 Sign-Up + 1 MQL. Top ad groups: coding_agent_platform 1541 clicks/62 conv/CR 4.0%/CPA $141 — engineering_platform 321 clicks/24 conv/CR 7.5%/CPA $86 (BEST) — cursor_automation 51 clicks/4 conv/CR 7.8%/CPA $178 — devin 158 clicks/3 conv/CR 1.9%/CPA $705. Top search terms: visily ai (13 conv), claude code (9 conv), codex (9 conv), opencode (4 conv), augment code (3 conv), devin ai (3 conv), google ai studio (3 conv). Deployed 9 new negatives: category_aidlc (kimi code, grok ai, coding ai, codex cli, platform openai com, wegic ai), competitor_v2 (harness ai, openai agents sdk, openai agents sdk python). Total negatives now 385. CPA trajectory: $4200 → $1135 → $487 → $320 → $237 → $166. engineering_platform at $86 CPA / 7.5% CR is standout performer.
23	2026-08-03	0.044215	154.75	0	0	0	act	ACT mode (Cosmos C23). 107 conv, CPA $155 (new best). Enabled-only: 2420 clicks, 107 conv, $16,559, CR 4.42%, CPA $155. Paused trailing $1,689 (nearly rotated out). 14d: category_aidlc 70 Sign-Up + 1 Demo; competitor_v2 3.5 Sign-Up. Top ad groups: coding_agent_platform 1619 clicks/69 conv/CR 4.3%/CPA $132 — engineering_platform 341 clicks/29 conv/CR 8.5%/CPA $75 (BEST EVER) — cursor_automation 55 clicks/4 conv/CR 7.3%/CPA $185 — devin 171 clicks/3 conv/CR 1.8%/CPA $752. Top search terms: visily ai (16 conv/CR 20.8%), codex (11 conv/CR 8.7%), claude code (9 conv/CR 5.5%), opencode (4 conv), thunkable ai (4 conv/CR 28.6%). Deployed 8 new negatives: category_aidlc (google flow ai, loveable dev, opencode go), competitor_v2 (openai operator, openai sdk, devin ai software engineer, devin competitors, devin open ai). Total negatives now 393. CPA trajectory: $4200 → $1135 → $487 → $320 → $237 → $166 → $155. engineering_platform at $75 CPA / 8.5% CR is best performer ever.
24	2026-08-06	0.044215	154.75	0	0	0	act	ACT mode (Cosmos C24). Steady state: 107 conv, CPA $155 (same 30d window as C23 — only 3 days elapsed). Paused trailing now $602 (almost fully rotated). Deployed 12 new negatives: category_aidlc (openrouter, pi coding agent, openhands, black box ai, blackbox ai, augmented code, claude code download, pi code agent, lovable dev), competitor_v2 (hermes agent, devin ide, devin ia). Total negatives now 405. $640 new waste blocked. FLAG: openai_agents ad group at 37 clicks/0 conv/$406 — recommend pause. category_alternatives at 144 clicks/1 conv/$1,523 CPA — watching.
25	2026-08-10	0.043034	169.91	0	0	0	act	ACT mode (Cosmos C25). FIRST CLEAN WINDOW — paused trailing fully rotated ($0). 114 conv, CPA $170 (true clean baseline). Enabled: 2649 clicks, 114 conv, $19,370, CR 4.30%, CPA $170. category_aidlc: 2179 clicks/105 conv/CR 4.8%/CPA $131. competitor_v2: 470 clicks/9 conv/CR 1.9%/CPA $629. Ad groups: coding_agent_platform 1772/74/CR 4.2%/CPA $148 — engineering_platform 377/31/CR 8.2%/CPA $82 — devin 201/3/CR 1.5%/CPA $881 — category_alternatives 144/1/CPA $1,523 — cursor_automation 62/4/CR 6.5%/CPA $212 — openai_agents 39/0/$420 — agent_orchestration 26/0/$117. Deployed 9 new negatives: category_aidlc (google ai studio, opencode ai, lovable ai, claude code ia, best ai for coding), competitor_v2 (factory ai, devin ai agent, cursor agents, cursor vs claude code). Total negatives now 414. $692 new waste blocked. FLAGS: openai_agents now 39 clicks/0 conv/$420 (2nd cycle flagged — PAUSE RECOMMENDED). devin ad group CPA $881 (3x account avg). category_alternatives CPA $1,523 (9x account avg).
26	2026-08-13	0.040473	190.69	0	0	0	act	ACT mode (Cosmos C26). CPA rising as clean spend enters window: 116 conv, CPA $191 (up from $170 in C25). category_aidlc: 2307 cl/105 cv/CR 4.6%/CPA $145. competitor_v2: 559 cl/11 cv/CR 2.0%/CPA $631 (main CPA drag). Ad groups: coding_agent_platform 1893/75/CR 4.0%/CPA $162 — engineering_platform 384/30/CR 7.8%/CPA $95 — devin 261/4/CR 1.5%/CPA $858 — category_alternatives 147/1/CPA $1,570 — cursor_automation 75/5/CR 6.7%/CPA $220 — openai_agents 48/0/$603 (3RD CYCLE FLAGGED) — agent_orchestration 26/0/$117. Deployed 5 new negatives: category_aidlc (replit agent, natively dev), competitor_v2 (openai agents, devin agent, devon ai). Total negatives now 419. $280 new waste blocked. CRITICAL FLAGS: openai_agents 48/0/$603 — PAUSE (3rd consecutive cycle at 0 conv). competitor_v2 campaign CPA $631 — driven by devin ($858) and category_alternatives ($1,570).
27	2026-08-17	0.050341	161.48	0	0	0	act	ACT mode (Cosmos C27). 🔥 CONVERSION SURGE: 155 conv (up from 116), CPA $161 (down from $191). category_aidlc: 2494 cl/142 cv/CR 5.7%/CPA $120 — accelerating. competitor_v2: 585 cl/13 cv/CR 2.2%/CPA $609 — still dragging. Ad groups: coding_agent_platform 2046/107/CR 5.2%/CPA $127 — engineering_platform 417/33/CR 7.9%/CPA $99 — cursor_automation 83/7/CR 8.4%/CPA $190 — devin 264/5/CR 1.9%/CPA $753 — category_alternatives 162/0/$1,909 (DROPPED TO 0 CONV) — openai_agents 52/0/$690 (4TH CYCLE) — agent_orchestration 27/0/$119. Deployed 4 new negatives: category_aidlc (thunkable ai, install claude code), competitor_v2 (open ai platform, cursor cloud agents). Total negatives now 423. $316 new waste blocked. CRITICAL: openai_agents (52/0/$690, 4 cycles) and category_alternatives (162/0/$1,909) combined $2,599 wasted — STRONG PAUSE RECOMMENDATION.
28	2026-08-20	0.055259	144.28	0	0	0	act	ACT mode (Cosmos C28). 🏆 BEST CPA EVER: 145 conv, CPA $144. category_aidlc: 2050 cl/133 cv/CR 6.5%/CPA $100 (BROKE $100 BARRIER). competitor_v2: 574 cl/12 cv/CR 2.1%/CPA $641. Ad groups: coding_agent_platform 1682/103/CR 6.1%/CPA $102 — engineering_platform 347/28/CR 8.1%/CPA $93 — cursor_automation 94/6/CR 6.4%/CPA $242 — devin 261/4/CR 1.5%/CPA $925 — category_alternatives 143/0/$1,541 (STILL 0 CONV) — openai_agents 58/1/$848 (got 1 conv, but still $848 CPA). Deployed 3 new negatives: category_aidlc (bolt ai), competitor_v2 (n8n ai, prime agent). Total negatives now 426. $220 new waste blocked. NOTE: openai_agents got 1 conv after 4 cycles at 0 — CPA still $848, watching. category_alternatives remains at 0 conv/$1,541 — STRONG PAUSE RECOMMENDATION.
